id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option1,6,Freshman,Semester 1,MATH 101,Calculus I,4,0,4,2
120,17,Freshman,Semester 1,MATH 101,Calculus I,4,0,4,2
121,17,Freshman,Semester 1,PHYS 101,General Physics I,3,3,4,2
122,17,Freshman,Semester 1,IAS 121,Language Foundation,2,0,2,2
123,17,Freshman,Semester 2,IAS 111,Belief and its Consequences,2,0,2,2
124,17,Freshman,Semester 2,ICS 104,Introduction to Programming in Python and C,2,3,3,2
125,17,Freshman,Semester 2,MATH 102,Calculus II,4,0,4,2
126,17,Freshman,Semester 2,PHYS 102,General Physics II,3,3,4,2
127,17,Freshman,Semester 2,ENGL 102,Introduction to Argument Writing,3,0,3,2
128,17,Freshman,Semester 2,PE 101,Physical Education III,0,2,1,2
129,17,Sophomore,Semester 1,AE 211,Fundamentals of Thermo-Fluids,3,0,3,2
130,17,Sophomore,Semester 1,AE 222,Introduction to Aerospace Engineering,3,0,3,2
131,17,Sophomore,Semester 1,ENGL 214,Academic & Professional Communication,3,0,3,2
132,17,Sophomore,Semester 1,ISE 291,Introduction to Data Science,3,0,3,2
133,17,Sophomore,Semester 1,MATH 201,Calculus III,3,0,3,2
134,17,Sophomore,Semester 1,CE 201,Statics,3,0,3,2
135,17,Sophomore,Semester 2,AE 228,Introduction to AE Structures and Materials,3,0,3,2
136,17,Sophomore,Semester 2,COE 292,Introduction to Artificial Intelligence,3,0,3,2
137,17,Sophomore,Semester 2,MATH 208,Differential Equations and Linear Algebra,3,0,3,2
138,17,Sophomore,Semester 2,ME 201,Dynamics,3,0,3,2
139,17,Sophomore,Semester 2,AE 223,Fluid Mechanics Lab,0,3,1,2
140,17,Sophomore,Semester 2,IAS 212,Ethics and Governance,2,0,2,2
141,17,Junior,Semester 1,ME 210,Mechanical Engineering Drawing and Graphics,2,3,3,2
142,17,Junior,Semester 1,MATH 371,Numerical Computing,2,2,3,2
143,17,Junior,Semester 1,AE 314,Systems and Control,3,0,3,2
144,17,Junior,Semester 1,AE 315,Systems and Control Lab,0,3,1,2
145,17,Junior,Semester 2,AE 325,Gas Dynamics I,3,0,3,2
146,17,Junior,Semester 2,AE 328,Flight Structures I,3,0,3,2
147,17,Junior,Semester 2,AE 333,Aerodynamics I,3,0,3,2
148,17,Junior,Semester 2,BUS 200,Business & Entrepreneurship,3,0,3,2
149,17,Junior,Semester 2,CGS 392,Career Essentials,0,2,1,2
150,17,Junior,Semester 2,AE 321,Structures and Materials Lab,0,3,1,2
151,17,Junior,Semester 2,AE 358,Computer Aided Engineering Lab,0,3,1,2
152,17,Junior,Summer Semester,AE 399,Summer Training,0,0,1,2
153,17,Senior,Semester 1,AE 411,Senior Design Project I,0,1,0,2
154,17,Senior,Semester 1,AE 422,Flight Propulsion I,3,0,3,2
155,17,Senior,Semester 2,AE 426,Flight Dynamics I,3,0,3,2
156,17,Senior,Semester 2,AE 427,Aerospace Vehicle Design,3,0,3,2
157,17,Senior,Semester 2,AE 412,Senior Design Project II,0,6,3,2
158,17,Senior,Semester 2,AE 423,Aerodynamic and Propulsion Lab,0,3,1,2
159,23,Freshman,Semester 1,ECON 101,Principles Of Microeconomics,3,0,3,0
160,23,Freshman,Semester 1,ENGL 101,Introduction to Academic Discourse,3,0,3,0
161,23,Freshman,Semester 1,ACCT 110,Introduction to Financial Accounting,3,0,3,0
162,23,Freshman,Semester 1,IAS 121,Language Foundation,2,0,2,0
163,23,Freshman,Semester 1,MATH 101,Calculus I,4,0,4,0
164,23,Freshman,Semester 1,PE 101,Physical Education III,0,2,1,0
165,23,Freshman,Semester 2,ECON 102,Principles of Macroeconomics,3,0,3,0
166,23,Freshman,Semester 2,ENGL 102,Introduction to Argument Writing,3,0,3,0
167,23,Freshman,Semester 2,ACCT 210,Introduction to Managerial Accounting,3,0,3,0
168,23,Freshman,Semester 2,IAS 111,Belief and its Consequences,2,0,2,0
169,23,Freshman,Semester 2,MATH 102,Calculus II,4,0,4,0
170,23,Freshman,Semester 2,ICS 104,Introduction to Programming in Python and C,2,3,3,0
171,23,Sophomore,Semester 1,BUS 200,Business & Entrepreneurship,3,0,3,0
172,23,Sophomore,Semester 1,AS 201,Financial Mathematics,3,0,3,0
173,23,Sophomore,Semester 1,ISE 291,Introduction to Data Science,3,0,3,0
174,23,Sophomore,Semester 1,IAS 212,Ethics and Governance,2,0,2,0
175,23,Sophomore,Semester 1,MATH 201,Calculus III,3,0,3,0
176,23,Sophomore,Semester 1,STAT 214,Actuaries and Business Statistics,3,2,4,0
177,23,Sophomore,Semester 2,FIN 250,Financial Management,3,0,3,0
178,23,Sophomore,Semester 2,AS 289,Actuarial Science Problem Lab I,0,2,1,0
179,23,Sophomore,Semester 2,AS 251,Maths of Financial Derivatives,2,2,3,0
180,23,Sophomore,Semester 2,MATH 208,Differential Equations and Linear Algebra,3,0,3,0
181,23,Sophomore,Semester 2,STAT 301,Probability Theory and Mathematical Statistics,3,0,3,0
182,23,Sophomore,Semester 2,ENGL 214,Academic & Professional Communication,3,0,3,0
183,23,Junior,Semester 1,FIN 320,Investments,3,0,3,0
184,23,Junior,Semester 1,AS 380,Actuarial Contingencies I,2,2,3,0
185,23,Junior,Semester 1,MATH 371,Numerical Computing,2,2,3,0
186,23,Junior,Semester 1,CGS 392,Career Essentials,0,2,1,0
187,23,Junior,Semester 1,STAT 302,Statistical Inference,3,0,3,0
188,23,Junior,Semester 1,STAT 310,Regression Analysis,3,0,3,0
189,23,Junior,Semester 2,AS 398,Internship,0,0,6,0
190,23,Senior,Semester 1,AS 411,Senior Project I,0,1,0,0
191,23,Senior,Semester 1,STAT 416,Stochastic Processes for Actuaries,3,0,3,0
192,23,Senior,Semester 1,AS 389,Actuarial Science Problem Lab II,0,2,1,0
193,23,Senior,Semester 1,AS 484,Actuarial Risk Theory and Credibility,3,2,4,0
194,23,Senior,Semester 1,COE 292,Introduction to Artificial Intelligence,3,0,3,0
195,23,Senior,Semester 2,AS 412,Senior Project II,0,6,3,0
196,23,Senior,Semester 2,AS 481,Actuarial Contingencies II,3,2,4,0
197,23,Senior,Semester 2,FIN 440,Islamic Finance,3,0,3,0
198,23,Senior,Semester 2,STAT 460,Time Series,3,0,3,0
199,1,Freshman,Semester 1,MATH 105,Finite Mathematics,3,0,3,2
200,1,Freshman,Semester 1,ACCT 110,Introduction to Financial Accounting,3,0,3,2
201,1,Freshman,Semester 1,ENGL 101,Introduction to Academic Discourse,3,0,3,2
202,1,Freshman,Semester 1,ECON 101,Principles Of Microeconomics,3,0,3,2
203,1,Freshman,Semester 1,BUS 200,Business & Entrepreneurship,3,0,3,2
204,1,Freshman,Semester 1,IAS 111,Belief and its Consequences,2,0,2,2
205,1,Freshman,Semester 1,MIS 101,Business Computing,0,3,1,2
206,1,Freshman,Semester 2,ENGL 102,Introduction to Argument Writing,3,0,3,2
207,1,Freshman,Semester 2,MATH 106,Calculus for Business,3,0,3,2
208,1,Freshman,Semester 2,ACCT 210,Introduction to Managerial Accounting,3,0,3,2
209,1,Freshman,Semester 2,ECON 102,Principles of Macroeconomics,3,0,3,2
210,1,Freshman,Semester 2,ICS 104,Introduction to Programming in Python and C,2,3,3,2
211,1,Freshman,Semester 2,MIS 215,Principles of Management Information Systems,3,0,3,2
212,1,Sophomore,Semester 1,ENGL 214,Academic & Professional Communication,3,0,3,2
213,1,Sophomore,Semester 1,FIN 250,Financial Management,3,0,3,2
214,1,Sophomore,Semester 1,STAT 211,Statistics for Business I,3,0,3,2
215,1,Sophomore,Semester 1,IAS 121,Language Foundation,2,0,2,2
216,1,Sophomore,Semester 1,MGT 301,Principles of Management,3,0,3,2
217,1,Sophomore,Semester 1,ACCT 300,Accounting Information Systems,2,2,3,2
218,1,Sophomore,Semester 1,PE 101,Physical Education III,0,2,1,2
219,1,Sophomore,Semester 2,MGT 210,Business Communication,3,0,3,2
220,1,Sophomore,Semester 2,MKT 250,Principles of Marketing,3,0,3,2
221,1,Sophomore,Semester 2,STAT 212,Statistics for Business II,3,0,3,2
222,1,Sophomore,Semester 2,OM 210,Operations Management,3,0,3,2
223,1,Sophomore,Semester 2,ISE 291,Introduction to Data Science,3,0,3,2
224,1,Sophomore,Semester 2,ACCT 301,Intermediate Accounting I,3,0,3,2
225,1,Junior,Semester 1,OM 311,Business Analytics,3,0,3,2
226,1,Junior,Semester 1,COE 292,Introduction to Artificial Intelligence,3,0,3,2
227,1,Junior,Semester 1,ECON 306,Economy of Saudi Arabia,3,0,3,2
228,1,Junior,Semester 1,ACCT 302,Intermediate Accounting II,3,0,3,2
229,1,Junior,Semester 1,ACCT 311,Auditing,3,0,3,2
230,1,Junior,Semester 2,MGT 355,Business Research Methods,3,0,3,2
231,1,Junior,Semester 2,CGS 392,Career Essentials,0,2,1,2
232,1,Junior,Semester 2,IAS 212,Ethics and Governance,2,0,2,2
233,1,Junior,Semester 2,ACCT 410,Cost Accounting,3,0,3,2
234,1,Senior,Semester 1,ACCT 398,Internship,0,0,6,2
235,1,Senior,Semester 2,MGT 449,Strategic Management,3,0,3,2
236,1,Senior,Semester 2,IAS 418,Contemporary Financial Transactions in Islam,2,0,2,2
237,1,Senior,Semester 2,ACCT 403,Advanced Accounting,3,0,3,2
