id,department_id,year_level,semester,course_code,course_title,lecture_hours,lab_hours,credits,plan_option
159,8,Graduate,N/A,XXX 5xx,Two Technical Non-CE Elective Courses,0,0,0,0
160,8,Graduate,N/A,XXX 6xx,Two Free Elective Courses,0,0,0,0
161,8,Graduate,N/A,Core Elective I,CE 5xx,0,0,0,0
162,8,Graduate,N/A,Core Elective II,CE 5xx,0,0,0,0
163,8,Graduate,N/A,Core Elective III,CE 5xx,0,0,0,0
164,8,Graduate,N/A,Core Elective IV,CE 5xx,0,0,0,0
165,8,Graduate,N/A,Core Elective V,CE 5xx,0,0,0,0
166,8,Graduate,N/A,Core Elective VI,CE 5xx,0,0,0,0
167,8,Graduate,N/A,Technical Elective I,XXX 5xx,0,0,0,0
168,8,Graduate,N/A,Technical Elective II,XXX 5xx,0,0,0,0
169,8,Graduate,N/A,Free Elective I,XXX 6xx,0,0,0,0
170,8,Graduate,N/A,Free Elective II,XXX 6xx,0,0,0,0
171,8,Graduate,N/A,Seminar,CE 699,0,0,0,0
172,8,Graduate,N/A,PhD. Pre-Dissertation,CE 711,0,0,0,0
173,8,Graduate,N/A,PhD. Dissertation,CE 712,0,0,0,0
174,8,Graduate,N/A,PhD. Dissertation,CE 712,0,0,0,0
175,8,Graduate,N/A,Core Elective I,CE 5xx,0,0,0,0
176,8,Graduate,N/A,Core Elective II,CE 5xx,0,0,0,0
177,8,Graduate,N/A,Core Elective III,CE 5xx,0,0,0,0
178,8,Graduate,N/A,Core Elective IV,CE 5xx,0,0,0,0
179,8,Graduate,N/A,Core Elective V,CE 5xx,0,0,0,0
180,8,Graduate,N/A,Core Elective VI,CE 5xx,0,0,0,0
181,8,Graduate,N/A,Technical Elective I,XXX 5xx,0,0,0,0
182,8,Graduate,N/A,Technical Elective II,XXX 5xx,0,0,0,0
183,8,Graduate,N/A,Free Elective I,XXX 6xx,0,0,0,0
184,8,Graduate,N/A,Free Elective II,XXX 6xx,0,0,0,0
185,8,Graduate,N/A,Seminar,CE 699,0,0,0,0
186,8,Graduate,N/A,PhD. Pre-Dissertation,CE 711,0,0,0,0
187,8,Graduate,N/A,PhD. Dissertation,CE 712,0,0,0,0
188,8,Graduate,N/A,PhD. Dissertation,CE 712,0,0,0,0
189,8,Graduate,N/A,CE 550,Nature and Behavior of Soils,0,0,0,0
190,8,Graduate,N/A,CE 552,Foundation Engineering,0,0,0,0
191,8,Graduate,N/A,CE 561,Advanced Soil Mechanics,0,0,0,0
192,8,Graduate,N/A,CE 599,Seminar,0,0,0,0
193,8,Graduate,N/A,CE 610,Thesis,0,0,0,0
194,8,Graduate,N/A,CE 5xx,Two Geotechnical Elective Courses,0,0,0,0
195,8,Graduate,N/A,CE 5xx,One CE Elective Course,0,0,0,0
196,8,Graduate,N/A,XXX 5xx,Technical Elective,0,0,0,0
197,8,Graduate,N/A,MATH 513 or MATH 560,Mathematics,0,0,0,0
198,8,Graduate,N/A,Math Elective,MATH 5xx,0,0,0,0
199,8,Graduate,N/A,Nature and Behavior of Soils,CE 550,0,0,0,0
200,8,Graduate,N/A,Advanced Soil Mechanics,CE 561,0,0,0,0
201,8,Graduate,N/A,Seminar,CE 599,0,0,0,0
202,8,Graduate,N/A,Foundation Engineering,CE 552,0,0,0,0
203,8,Graduate,N/A,Geotechnical Elective I,CE 5xx,0,0,0,0
204,8,Graduate,N/A,Geotechnical Elective II,CE 5xx,0,0,0,0
205,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
206,8,Graduate,N/A,CE Elective,CE 5xx,0,0,0,0
207,8,Graduate,N/A,Thesis,CE 610,0,0,0,0
208,8,Graduate,N/A,Technical Elective,XXX 5xx,0,0,0,0
209,8,Graduate,N/A,Math Elective,MATH 5xx,0,0,0,0
210,8,Graduate,N/A,Nature and Behavior of Soils,CE 550,0,0,0,0
211,8,Graduate,N/A,Advanced Soil Mechanics,CE 561,0,0,0,0
212,8,Graduate,N/A,Seminar,CE 599,0,0,0,0
213,8,Graduate,N/A,Foundation Engineering,CE 552,0,0,0,0
214,8,Graduate,N/A,Geotechnical Elective I,CE 5xx,0,0,0,0
